ANNEE,MOIS,NUM COMMANDE,CANAL,CENTRAL,ENSEIGNE,REFERENCE,DESIGNATION,SECTEUR,MARQUE,FAMILLE,SOUS-FAMILLE,PRODUIT,QUANTITE,PRIX,CA VENTE,PRIX ACHAT,CA ACHAT,MARGE
2023,1,S012300025,GMS,ITM,ITM BASES,50559,PECHE SL SACCH 12X4/4 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,216,"33,72","7283,52","1,662","358,992","6924,528"
2023,1,S012300025,GMS,ITM,ITM BASES,49078,ANANAS ORIGIN MX JUS 12X3/4OF ST MAM G3,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,198,"30,12","5963,76","1,22","241,56","5722,2"
2023,1,S012300025,GMS,ITM,ITM BASES,52158,PECHE SL SAC 12X1/2  STMA DPNG MED,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,144,"19,92","2868,48","0,732","105,408","2763,072"
2023,1,S012300025,GMS,ITM,ITM BASES,47813,COCKT 4F SL SACCH ARO G3 12X4/4 OF STM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,288,"40,56","11681,28","1,794","516,672","11164,608"
2023,1,S012300025,GMS,ITM,ITM BASES,48438,FRAICHEUR ILES SL SACCH ARO 12X 4/4 SM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,72,"36,84","2652,48","1,953","140,616","2511,864"
2023,1,S012300025,GMS,ITM,ITM BASES,30254,MANGUES 12X1/2OF  ST.MAMET,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,MANGUE,288,"19,68","5667,84","1,035","298,08","5369,76"
2023,1,S012300025,GMS,ITM,ITM BASES,51981,SALADE 4F DPNG B14-17 SAC 12X4/4  STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,MACEDOINE ,72,"41,88","3015,36","2,459","177,048","2838,312"
2023,1,S012300026,GMS,ITM,ITM BASES,51029,CERISE B14-17 SAC ARO 12X1/2 STMAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,ROUGES,CERISE,432,"26,16","11301,12","0,924","399,168","10901,952"
2023,1,S012300026,GMS,ITM,ITM BASES,50560,POIRE SL SACCH  12X4/4 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,216,"39,36","8501,76","1,608","347,328","8154,432"
2023,1,S012300026,GMS,ITM,ITM BASES,49080,ANANAS ORIGIN TR JUS 12X3/4OF ST.MAM G3,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,ANANAS,396,"30,12","11927,52","1,203","476,388","11451,132"
2023,1,S012300026,GMS,ITM,ITM BASES,46979,LYCHEES B14-17° 12X3/4 OF ST.MAMET,Marque St Mamet Exotique,ST MAMET,FEM MONOFRUITS,EXOTIQUE,LITCHI,495,"36,48","18057,6","1,491","738,045","17319,555"
2023,1,S012300027,GMS,GALEC,GALEC PFE,49919,PECHE ANANAS KIWI SSA 12x1/2 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,72,"15,2833","1100,3976","1,156","83,232","1017,1656"
2023,1,S012300035,GMS,ITM,ITM BASES,43721,MA PECHE DOUCEUR 6X4XC113G ST MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM PRÊTS A CONSOMMER,CUPS,MELANGE DE FRUITS,153,"16,8","2570,4","1,412","216,036","2354,364"
2023,1,S012300035,GMS,ITM,ITM BASES,49008,POIR BIO 12X4/4 STMA FR-BIO-01 FRANCE EQ,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,72,"46,08","3317,76","1,989","143,208","3174,552"
2023,1,S012300035,GMS,ITM,ITM BASES,47793,COCKTAIL SSA  6X4XC113G ST MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM PRÊTS A CONSOMMER,CUPS,MELANGE DE FRUITS,153,"16,8","2570,4","1,497","229,041","2341,359"
2023,1,S012300035,GMS,ITM,ITM BASES,49916,PECHE POIRE ANANAS SSA 12x1/2 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,144,"23,76","3421,44","1,002","144,288","3277,152"
2023,1,S012300036,GMS,ITM,ITM BASES,47793,COCKTAIL SSA  6X4XC113G ST MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM PRÊTS A CONSOMMER,CUPS,MELANGE DE FRUITS,153,"16,8","2570,4","1,497","229,041","2341,359"
2023,1,S012300037,GMS,ITM,ITM BASES,42985,ABRICOT SL 12X4/4OF   ST.MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,72,"36,84","2652,48","1,627","117,144","2535,336"
2023,1,S012300037,GMS,ITM,ITM BASES,51598,ABRICOT AFG4D B14-17° 12X1/2OF STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,144,"21,48","3093,12","0,968","139,392","2953,728"
2023,1,S012300037,GMS,ITM,ITM BASES,48436,FRAICHEUR ILES SL SACCH ARO 8X3X1/4 SM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,126,"27,12","3417,12","1,956","246,456","3170,664"
2023,1,S012300027,GMS,GALEC,GALEC PFE,48436,FRAICHEUR ILES SL SACCH ARO 8X3X1/4 SM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,FRAICHEUR DES ILES,48,"15,3457","736,5936","1,956","93,888","642,7056"
2023,1,S012300049,GMS,GALEC,GALEC PFE,50610,PDF Pec Mang Chia SSA 8x2X113G STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM PRÊTS A CONSOMMER,CUPS,CUPS LPDF,14,"11,4444","160,2216","1,384","19,376","140,8456"
2023,1,S012300049,GMS,GALEC,GALEC PFE,49918,PECHE ANANAS KIWI SSA 12x4/4 STMA,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,VARIETE,SSA PLAISIR DE FRUITS,24,"27,4913","659,7912","2,097","50,328","609,4632"
2023,1,S012300049,GMS,GALEC,GALEC PFE,48443,FRAMBOISE SIR SACCH 12X1/2 ST MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,ROUGES,FRAMBOISE,218,"19,0026","4142,5668","1,233","268,794","3873,7728"
2023,1,S012300049,GMS,GALEC,GALEC PFE,42985,ABRICOT SL 12X4/4OF   ST.MAMET,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,ABRICOT,24,"23,142","555,408","1,627","39,048","516,36"
2023,1,S012300049,GMS,GALEC,GALEC PFE,50560,POIRE SL SACCH  12X4/4 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,24,"22,7369","545,6856","1,608","38,592","507,0936"
2023,1,S012300049,GMS,GALEC,GALEC PFE,50559,PECHE SL SACCH 12X4/4 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,PECHES,24,"19,4883","467,7192","1,662","39,888","427,8312"
2023,1,S012300049,GMS,GALEC,GALEC PFE,47816,COCKT 4F SL SACCH ARO G1 12X1/2 OF STM,Marque St Mamet Fruits au siro,ST MAMET,FEM SALADES DE FRUITS,COCKTAIL,COCKTAIL,24,"14,8455","356,292","0,942","22,608","333,684"
2023,1,S012300049,GMS,GALEC,GALEC PFE,50554,POIRE SL SACCH  12X1/2 ST MAMET HVE,Marque St Mamet Fruits au siro,ST MAMET,FEM MONOFRUITS,VERGER,POIRE,48,"13,568","651,264","0,819","39,312","611,952"
